Município;UF;Empresa;Porte da Prestadora;Código IBGE 
São João do Rio do Peixe;PB;FRANCISCO DE ASSIS SOARES DE OLIVEIRA INFORMATICA - ME;Pequeno Porte;2500700
São João do Rio do Peixe;PB;FRANCISCO DE ASSIS SOARES DE OLIVEIRA INFORMATICA - ME;Pequeno Porte;2500700
Bernardino Batista;PB;FRANCISCO DE ASSIS SOARES DE OLIVEIRA INFORMATICA - ME;Pequeno Porte;2502052
Bernardino Batista;PB;FRANCISCO DE ASSIS SOARES DE OLIVEIRA INFORMATICA - ME;Pequeno Porte;2502052
Uiraúna;PB;FRANCISCO DE ASSIS SOARES DE OLIVEIRA INFORMATICA - ME;Pequeno Porte;2516904
Uiraúna;PB;FRANCISCO DE ASSIS SOARES DE OLIVEIRA INFORMATICA - ME;Pequeno Porte;2516904
São João do Rio do Peixe;PB;FRANCISCO DE ASSIS SOARES DE OLIVEIRA INFORMATICA - ME;Pequeno Porte;2500700
São João do Rio do Peixe;PB;FRANCISCO DE ASSIS SOARES DE OLIVEIRA INFORMATICA - ME;Pequeno Porte;2500700
São João do Rio do Peixe;PB;FRANCISCO DE ASSIS SOARES DE OLIVEIRA INFORMATICA - ME;Pequeno Porte;2500700
São João do Rio do Peixe;PB;FRANCISCO DE ASSIS SOARES DE OLIVEIRA INFORMATICA - ME;Pequeno Porte;2500700
Bernardino Batista;PB;FRANCISCO DE ASSIS SOARES DE OLIVEIRA INFORMATICA - ME;Pequeno Porte;2502052
Bernardino Batista;PB;FRANCISCO DE ASSIS SOARES DE OLIVEIRA INFORMATICA - ME;Pequeno Porte;2502052
Uiraúna;PB;FRANCISCO DE ASSIS SOARES DE OLIVEIRA INFORMATICA - ME;Pequeno Porte;2516904
Uiraúna;PB;FRANCISCO DE ASSIS SOARES DE OLIVEIRA INFORMATICA - ME;Pequeno Porte;2516904
Uiraúna;PB;FRANCISCO DE ASSIS SOARES DE OLIVEIRA INFORMATICA - ME;Pequeno Porte;2516904
Uiraúna;PB;FRANCISCO DE ASSIS SOARES DE OLIVEIRA INFORMATICA - ME;Pequeno Porte;2516904
Uiraúna;PB;FRANCISCO DE ASSIS SOARES DE OLIVEIRA INFORMATICA - ME;Pequeno Porte;2516904
Uiraúna;PB;FRANCISCO DE ASSIS SOARES DE OLIVEIRA INFORMATICA - ME;Pequeno Porte;2516904
Uiraúna;PB;FRANCISCO DE ASSIS SOARES DE OLIVEIRA INFORMATICA - ME;Pequeno Porte;2516904
Uiraúna;PB;FRANCISCO DE ASSIS SOARES DE OLIVEIRA INFORMATICA - ME;Pequeno Porte;2516904
Bernardino Batista;PB;FRANCISCO DE ASSIS SOARES DE OLIVEIRA INFORMATICA - ME;Pequeno Porte;2502052
Bernardino Batista;PB;FRANCISCO DE ASSIS SOARES DE OLIVEIRA INFORMATICA - ME;Pequeno Porte;2502052
Uiraúna;PB;FRANCISCO DE ASSIS SOARES DE OLIVEIRA INFORMATICA - ME;Pequeno Porte;2516904
Uiraúna;PB;FRANCISCO DE ASSIS SOARES DE OLIVEIRA INFORMATICA - ME;Pequeno Porte;2516904
São João do Rio do Peixe;PB;FRANCISCO DE ASSIS SOARES DE OLIVEIRA INFORMATICA - ME;Pequeno Porte;2500700
São João do Rio do Peixe;PB;FRANCISCO DE ASSIS SOARES DE OLIVEIRA INFORMATICA - ME;Pequeno Porte;2500700
Bernardino Batista;PB;FRANCISCO DE ASSIS SOARES DE OLIVEIRA INFORMATICA - ME;Pequeno Porte;2502052
Bernardino Batista;PB;FRANCISCO DE ASSIS SOARES DE OLIVEIRA INFORMATICA - ME;Pequeno Porte;2502052
Uiraúna;PB;FRANCISCO DE ASSIS SOARES DE OLIVEIRA INFORMATICA - ME;Pequeno Porte;2516904
Uiraúna;PB;FRANCISCO DE ASSIS SOARES DE OLIVEIRA INFORMATICA - ME;Pequeno Porte;2516904
Massaranduba;PB;FSC COMUNICACOES LTDA;Pequeno Porte;2509206
Massaranduba;PB;FSC COMUNICACOES LTDA;Pequeno Porte;2509206
Riacho dos Cavalos;PB;ALSOL - PROVEDOR DE INTERNET LTDA.;Pequeno Porte;2512804
Riacho dos Cavalos;PB;ALSOL - PROVEDOR DE INTERNET LTDA.;Pequeno Porte;2512804
Belém do Brejo do Cruz;PB;ALSOL - PROVEDOR DE INTERNET LTDA.;Pequeno Porte;2502003
Brejo dos Santos;PB;ALSOL - PROVEDOR DE INTERNET LTDA.;Pequeno Porte;2502904
Catolé do Rocha;PB;ALSOL - PROVEDOR DE INTERNET LTDA.;Pequeno Porte;2504306
Jericó;PB;ALSOL - PROVEDOR DE INTERNET LTDA.;Pequeno Porte;2507408
São José do Brejo do Cruz;PB;ALSOL - PROVEDOR DE INTERNET LTDA.;Pequeno Porte;2514651
Catolé do Rocha;PB;ALSOL - PROVEDOR DE INTERNET LTDA.;Pequeno Porte;2504306
Catolé do Rocha;PB;ALSOL - PROVEDOR DE INTERNET LTDA.;Pequeno Porte;2504306
São Bento;PB;ALSOL - PROVEDOR DE INTERNET LTDA.;Pequeno Porte;2513901
Belém do Brejo do Cruz;PB;ALSOL - PROVEDOR DE INTERNET LTDA.;Pequeno Porte;2502003
Bom Sucesso;PB;ALSOL - PROVEDOR DE INTERNET LTDA.;Pequeno Porte;2502300
Brejo dos Santos;PB;ALSOL - PROVEDOR DE INTERNET LTDA.;Pequeno Porte;2502904
Catolé do Rocha;PB;ALSOL - PROVEDOR DE INTERNET LTDA.;Pequeno Porte;2504306
Catolé do Rocha;PB;ALSOL - PROVEDOR DE INTERNET LTDA.;Pequeno Porte;2504306
Mato Grosso;PB;ALSOL - PROVEDOR DE INTERNET LTDA.;Pequeno Porte;2509370
São José do Brejo do Cruz;PB;ALSOL - PROVEDOR DE INTERNET LTDA.;Pequeno Porte;2514651
Catolé do Rocha;PB;ALSOL - PROVEDOR DE INTERNET LTDA.;Pequeno Porte;2504306
Catolé do Rocha;PB;ALSOL - PROVEDOR DE INTERNET LTDA.;Pequeno Porte;2504306
Jericó;PB;ALSOL - PROVEDOR DE INTERNET LTDA.;Pequeno Porte;2507408
Bom Sucesso;PB;ALSOL - PROVEDOR DE INTERNET LTDA.;Pequeno Porte;2502300
Catolé do Rocha;PB;ALSOL - PROVEDOR DE INTERNET LTDA.;Pequeno Porte;2504306
Catolé do Rocha;PB;ALSOL - PROVEDOR DE INTERNET LTDA.;Pequeno Porte;2504306
Mato Grosso;PB;ALSOL - PROVEDOR DE INTERNET LTDA.;Pequeno Porte;2509370
Mato Grosso;PB;ALSOL - PROVEDOR DE INTERNET LTDA.;Pequeno Porte;2509370
São Bento;PB;ALSOL - PROVEDOR DE INTERNET LTDA.;Pequeno Porte;2513901
São Bento;PB;ALSOL - PROVEDOR DE INTERNET LTDA.;Pequeno Porte;2513901
Belém do Brejo do Cruz;PB;ALSOL - PROVEDOR DE INTERNET LTDA.;Pequeno Porte;2502003
Belém do Brejo do Cruz;PB;ALSOL - PROVEDOR DE INTERNET LTDA.;Pequeno Porte;2502003
Bom Sucesso;PB;ALSOL - PROVEDOR DE INTERNET LTDA.;Pequeno Porte;2502300
Bom Sucesso;PB;ALSOL - PROVEDOR DE INTERNET LTDA.;Pequeno Porte;2502300
Brejo do Cruz;PB;ALSOL - PROVEDOR DE INTERNET LTDA.;Pequeno Porte;2502805
Catolé do Rocha;PB;ALSOL - PROVEDOR DE INTERNET LTDA.;Pequeno Porte;2504306
Catolé do Rocha;PB;ALSOL - PROVEDOR DE INTERNET LTDA.;Pequeno Porte;2504306
Jericó;PB;ALSOL - PROVEDOR DE INTERNET LTDA.;Pequeno Porte;2507408
Mato Grosso;PB;ALSOL - PROVEDOR DE INTERNET LTDA.;Pequeno Porte;2509370
Mato Grosso;PB;ALSOL - PROVEDOR DE INTERNET LTDA.;Pequeno Porte;2509370
São José do Brejo do Cruz;PB;ALSOL - PROVEDOR DE INTERNET LTDA.;Pequeno Porte;2514651
São José do Brejo do Cruz;PB;ALSOL - PROVEDOR DE INTERNET LTDA.;Pequeno Porte;2514651
Catolé do Rocha;PB;ALSOL - PROVEDOR DE INTERNET LTDA.;Pequeno Porte;2504306
Catolé do Rocha;PB;ALSOL - PROVEDOR DE INTERNET LTDA.;Pequeno Porte;2504306
Catolé do Rocha;PB;ALSOL - PROVEDOR DE INTERNET LTDA.;Pequeno Porte;2504306
Catolé do Rocha;PB;ALSOL - PROVEDOR DE INTERNET LTDA.;Pequeno Porte;2504306
Jericó;PB;ALSOL - PROVEDOR DE INTERNET LTDA.;Pequeno Porte;2507408
