Código IBGE,Município,UF,Operadora,Tecnologia,% área coberta,% moradores cobertos,% domicílios cobertos,Área km2,Moradores,Domicílios,Tipo de compromisso,Compromisso,Origem compromisso,Operadora com compromisso,Status compromisso,Prazo compromisso
2500106,Água Branca,PB,Todas,4G,"43,22","63,36","65,47","236,609529",9446,2559,Ofertar SMP,Cobertura de pelo menos 80% da área urbana do distrito sede com 3G ou superior,Edital da Banda H (002-2010/SPV-ANATEL),Nextel,Atendido com atraso,N/A
2500106,Água Branca,PB,Todas,4G,"43,22","63,36","65,47","236,609529",9446,2559,Ofertar Smp,Instalar Estações Rádio Base (Erb) Que Permitam A Oferta Do Smp Por Meio De Padrão Tecnológico Igual Ou Superior Ao 5g Nr Release 16 Do 3gpp,Edital do 5G (001-2021-SOR/SPR/CD-ANATEL),Brisanet,A vencer,31/12/2029
2500205,Aguiar,PB,Todas,4G,"39,33","64,71","66,78","344,7094987",5528,1659,Ofertar SMP,Cobertura de pelo menos 80% da área urbana do distrito sede com 2G ou superior,Edital do 3G (002-2007/SPV-ANATEL),Tim,Atendido com atraso,30/04/2010
2500205,Aguiar,PB,Todas,4G,"39,33","64,71","66,78","344,7094987",5528,1659,Ofertar SMP,Cobertura de pelo menos 80% da área urbana do distrito sede com 3G ou superior,Edital do 4G (004-2012/SPV-ANATEL),Tim,Atendido no prazo,N/A
2500205,Aguiar,PB,Todas,4G,"39,33","64,71","66,78","344,7094987",5528,1659,Ofertar Smp,Instalar Estações Rádio Base (Erb) Que Permitam A Oferta Do Smp Por Meio De Padrão Tecnológico Igual Ou Superior Ao 5g Nr Release 16 Do 3gpp,Edital do 5G (001-2021-SOR/SPR/CD-ANATEL),Brisanet,A vencer,31/12/2029
2500304,Alagoa Grande,PB,Todas,4G,"67,75","93,55","94,05","320,5623905",28460,8012,Ofertar SMP,Cobertura de pelo menos 80% da área urbana do distrito sede com 3G ou superior,Edital do 3G (002-2007/SPV-ANATEL),Vivo,Atendido com atraso,30/04/2015
2500304,Alagoa Grande,PB,Todas,4G,"67,75","93,55","94,05","320,5623905",28460,8012,Ofertar Smp,Instalar Estações Rádio Base (Erb) Que Permitam A Oferta Do Smp Por Meio De Padrão Tecnológico Igual Ou Superior Ao 5g Nr Release 16 Do 3gpp,Edital do 5G (001-2021-SOR/SPR/CD-ANATEL),Brisanet,A vencer,31/12/2029
2500403,Alagoa Nova,PB,Todas,4G,"97,82","99,23","99,29","122,2553871",19678,5434,Ofertar SMP,Cobertura de pelo menos 80% da área urbana do distrito sede com 3G ou superior,Edital do 3G (002-2007/SPV-ANATEL),Vivo,Atendido no prazo,30/04/2009
2500403,Alagoa Nova,PB,Todas,4G,"97,82","99,23","99,29","122,2553871",19678,5434,Ofertar SMP,Cobertura de pelo menos 80% da área urbana do distrito sede com 3G ou superior,Edital do 3G (002-2007/SPV-ANATEL),Vivo,Atendido no prazo,30/04/2013
2500403,Alagoa Nova,PB,Todas,4G,"97,82","99,23","99,29","122,2553871",19678,5434,Ofertar Smp,Instalar Estações Rádio Base (Erb) Que Permitam A Oferta Do Smp Por Meio De Padrão Tecnológico Igual Ou Superior Ao 5g Nr Release 16 Do 3gpp,Edital do 5G (001-2021-SOR/SPR/CD-ANATEL),Brisanet,A vencer,31/12/2029
2500502,Alagoinha,PB,Todas,4G,"98,21","99,57","99,54","96,97979893",13533,3686,Ofertar SMP,Cobertura de pelo menos 80% da área urbana do distrito sede com 3G ou superior,Edital do 3G (002-2007/SPV-ANATEL),Oi,Atendido com atraso,30/04/2014
2500502,Alagoinha,PB,Todas,4G,"98,21","99,57","99,54","96,97979893",13533,3686,Ofertar SMP,Cobertura de pelo menos 80% da área urbana do distrito sede com 3G ou superior,Edital do 3G (002-2007/SPV-ANATEL),Oi,Atendido no prazo,30/04/2009
2500502,Alagoinha,PB,Todas,4G,"98,21","99,57","99,54","96,97979893",13533,3686,Ofertar SMP,Ofertar SMP 4G ou superior,TAC,Tim,Atendido no prazo,31/12/2021
2500502,Alagoinha,PB,Todas,4G,"98,21","99,57","99,54","96,97979893",13533,3686,Ofertar Smp,Instalar Estações Rádio Base (Erb) Que Permitam A Oferta Do Smp Por Meio De Padrão Tecnológico Igual Ou Superior Ao 5g Nr Release 16 Do 3gpp,Edital do 5G (001-2021-SOR/SPR/CD-ANATEL),Brisanet,A vencer,31/12/2029
2500536,Alcantil,PB,Todas,4G,"54,17","68,08","68,32","305,393125",5237,1565,Ofertar SMP,Cobertura de pelo menos 80% da área urbana do distrito sede com 3G ou superior,Edital do 3G (002-2007/SPV-ANATEL),Oi,Atendido no prazo,30/04/2010
2500536,Alcantil,PB,Todas,4G,"54,17","68,08","68,32","305,393125",5237,1565,Ofertar SMP,Cobertura de pelo menos 80% da área urbana do distrito sede com 3G ou superior,Edital do 3G (002-2007/SPV-ANATEL),Oi,Atendido no prazo,30/04/2016
2500536,Alcantil,PB,Todas,4G,"54,17","68,08","68,32","305,393125",5237,1565,Ofertar SMP,Ofertar SMP 4G ou superior,TAC,Tim,Atendido no prazo,31/12/2020
2500536,Alcantil,PB,Todas,4G,"54,17","68,08","68,32","305,393125",5237,1565,Ofertar Smp,Instalar Estações Rádio Base (Erb) Que Permitam A Oferta Do Smp Por Meio De Padrão Tecnológico Igual Ou Superior Ao 5g Nr Release 16 Do 3gpp,Edital do 5G (001-2021-SOR/SPR/CD-ANATEL),Brisanet,A vencer,31/12/2029
2500577,Algodão de Jandaíra,PB,Todas,4G,"50,86","77,50","77,99","220,2481783",2359,673,Ofertar SMP,Cobertura de pelo menos 80% da área urbana do distrito sede com 3G ou superior,Edital do 3G (002-2007/SPV-ANATEL),Claro,Atendido com atraso,30/04/2010
